Breed,Color,DogName,OwnerZip,Gender,Intact,Age,Weight,AverageWeight,Category
GER SHEPHERD,BLACK,POP TART,15229,Female,True,79,83,81.36481303930968,Large
POMERANIAN,SPOTTED,PIPER,15084,Female,True,93,3,4.028953229398664,Toy
GOLDENDOODLE,BROWN,BENEDETTO,15065,Male,True,65,78,71.67073954983923,Large
SHIH TZU,WHITE/TAN,CHARLIE,15236,Male,False,39,13,12.004834810636583,Small
CAV KING CHAR SPANI,SPOTTED,BENSON,15102,Male,False,178,17,14.696850393700787,Small
SCHNAUZER MIN,SPOTTED,MORTY,15215,Male,False,123,12,12.735135135135135,Small
GER SHORTHAIR POINT,BLACK,GOMER PYLE,15065,Male,False,81,61,62.642140468227424,Large
GER SHORTHAIR POINT,BLACK,GUNNER,15065,Male,False,143,63,62.642140468227424,Large
PUGGLE,BROWN,FRANKIE,15071,Female,False,88,13,15.64102564102564,Small
LABRADOR RETRIEVER,BLACK,AXLE,15065,Male,False,24,67,71.38216365307999,Large
AUS SHEPHERD,BLACK/BROWN,HAZEL,15024,Female,True,118,67,57.110864745011085,Large
GER SHEPHERD,BLACK/BROWN,THOR,15108,Male,False,137,88,81.36481303930968,Large
MORKIE,WHITE/BLACK,COOPER,15239,Male,False,61,5,5.054421768707483,Toy
GOLDEN RETRIEVER,GOLD,NALA,15102,Female,False,52,72,64.81926121372031,Large
CHIHUAHUA,BROWN,BEAN,15108,Male,False,189,5,4.020435069215557,Toy
BEAGLE,WHITE/BROWN,SALLY,15146,Female,False,98,19,20.472150814053126,Medium
GOLDEN RETRIEVER,RED,HUDSON,15143,Female,False,45,53,64.81926121372031,Large
CAV KING CHAR SPANI,RED/BROWN,OLIVER,15236,Male,True,98,14,14.696850393700787,Small
LABRADOODLE,TAN,CHARLIE,15227,Male,True,33,74,72.0954954954955,Large
AUS SHEPHERD,TRI-COLOR,ELI,15142,Male,False,86,55,57.110864745011085,Large
CAV KING CHAR SPANI,TRI-COLOR,LUCY,15142,Female,False,137,14,14.696850393700787,Small
GOLDEN RETRIEVER,GOLD,GRIFFEN,15101,Male,False,41,62,64.81926121372031,Large
YORKSHIRE TERRIER,BLACK/TAN,YAOYAO,15090,Female,False,52,5,6.085308056872038,Small
BEAGLE,WHITE/BLACK,JOJO,15057,Female,False,23,20,20.472150814053126,Medium
BEAGLE,WHITE/BROWN,HONEY,15057,Female,False,97,19,20.472150814053126,Medium
SHIH TZU,BLACK,WILLOW,15057,Female,False,105,12,12.004834810636583,Small
GOLDEN RETRIEVER,BROWN,BOUJEE,15236,Male,True,51,64,64.81926121372031,Large
GER SHEPHERD,BLACK/TAN,GUNTHER,15146,Male,False,119,86,81.36481303930968,Large
GER SHEPHERD,BLACK/TAN,JAMESON,15146,Male,False,64,83,81.36481303930968,Large
AM PIT BULL TERRIER,WHITE/BLACK,EMI,15236,Female,False,64,51,62.09428223844282,Large
GER SHEPHERD,WHITE/BLACK,RANGER,15146,Male,False,125,102,81.36481303930968,Large
GER SHEPHERD,BLACK,MAC,15057,Female,False,139,86,81.36481303930968,Large
GER SHORTHAIR POINT,WHITE/BROWN,KAISER,15221,Male,True,23,55,62.642140468227424,Large
GOLDENDOODLE,RED,DOLLY,15102,Female,True,90,69,71.67073954983923,Large
LABRADOODLE,RED,DAISY,15102,Female,True,57,61,72.0954954954955,Large
GOLDENDOODLE,BROWN,DUNCAN,15102,Male,True,59,70,71.67073954983923,Large
GER SHEPHERD,BLACK/BROWN,RUGER,15227,Male,False,74,96,81.36481303930968,Large
CHIHUAHUA,FAWN,REMI,15146,Male,False,121,5,4.020435069215557,Toy
GOLDEN RETRIEVER,GOLD,FOREST,15147,Male,True,144,72,64.81926121372031,Large
AUS SHEPHERD,BLACK/BROWN,LOKI,15238,Male,False,61,58,57.110864745011085,Large
WELSH CORGI PEMBROK,WHITE/BROWN,EINSTIEN,15238,Male,True,135,34,33.037151702786375,Medium
SIB HUSKY,WHITE/BLACK,SKY BRAUN,15025,Female,True,73,52,52.40229885057471,Large
GOLDENDOODLE,BROWN,MARLEY,15241,Female,False,101,63,71.67073954983923,Large
GER SHEPHERD,BLACK/TAN,STRAWBERRY,15120,Female,True,42,70,81.36481303930968,Large
BOXER,BRINDLE,HOPE,15057,Female,False,151,59,71.2519422863485,Large
BOXER,WHITE,DAISY,15057,Female,True,162,72,71.2519422863485,Large
HAVANESE,WHITE/BLACK,MEEKO,15215,Female,False,124,11,10.14186046511628,Small
AM PIT BULL TERRIER,WHITE/BROWN,JUNIOR,15122,Male,True,104,56,62.09428223844282,Large
GOLDENDOODLE,WHITE,PAPI CHULD,15243,Male,True,74,76,71.67073954983923,Large
AM PIT BULL TERRIER,BROWN,WINSLOW,15116,Male,False,113,70,62.09428223844282,Large
LABRADOR RETRIEVER,BLACK,SHADOW,15108,Male,True,55,77,71.38216365307999,Large
MIN PINSCHER,BLACK,PENNY,15227,Female,False,81,8,7.959641255605381,Small
BOXER,BRINDLE,GABBIE,15133,Female,False,162,76,71.2519422863485,Large
LABRADOR RETRIEVER,BROWN,ZARA,15237,Male,False,27,79,71.38216365307999,Large
BOSTON TERRIER,BLACK,ARCHIE,15044,Male,False,168,18,16.468503937007874,Small
COCKAPOO,BROWN/TAN,POPTART,15146,Female,False,52,37,35.861111111111114,Medium
AUS SHEPHERD,SPOTTED,COOKIE,15206,Female,False,140,58,57.110864745011085,Large
CHIHUAHUA,BROWN,EL GUAPPO,15139,Male,True,61,4,4.020435069215557,Toy
CAV KING CHAR SPANI,SPOTTED,BENTLY,15025,Female,False,25,14,14.696850393700787,Small
BEAGLE,SPOTTED,ROCKY,15102,Male,False,87,17,20.472150814053126,Medium
GOLDEN RETRIEVER,GOLD,CHASE,15146,Male,False,66,77,64.81926121372031,Large
GOLDEN RETRIEVER,BROWN,LINCOLN,15101,Male,False,66,73,64.81926121372031,Large
GOLDEN RETRIEVER,GOLD,PEACHES,15146,Female,False,35,50,64.81926121372031,Large
BASSET HOUND,SPOTTED,BRIX,15136,Male,False,20,57,57.184357541899445,Large
CHIHUAHUA,TAN,JULIUS,15044,Male,False,173,5,4.020435069215557,Toy
LABRADOR RETRIEVER,BROWN,MIKA,15044,Female,False,43,75,71.38216365307999,Large
GOLDENDOODLE,APRICOT,COOPER,15143,Male,False,92,71,71.67073954983923,Large
LABRADOR RETRIEVER,BLACK,BUDDY,15239,Male,True,28,74,71.38216365307999,Large
PUG,FAWN,ALFRED,15057,Male,False,36,16,14.765407554671969,Small
DACHSHUND,RED,SENNA,15131,Female,False,167,21,22.387126019945605,Medium
HAVANESE,WHITE,DARCIE MARIE,15234,Female,False,78,10,10.14186046511628,Small
YORKSHIRE TERRIER,BLACK/TAN,JAKE,15143,Male,False,62,7,6.085308056872038,Small
SIB HUSKY,WHITE/BLACK,FINN,15101,Male,False,135,56,52.40229885057471,Large
PUGGLE,TAN,TUCKER,15126,Male,False,124,14,15.64102564102564,Small
ROTTWEILER,BLACK/BROWN,KANE,15227,Male,False,26,124,115.73399014778325,Giant
BICHON FRISE,WHITE,COOPER,15202,Male,False,118,14,13.739583333333334,Small
FRENCH BULLDOG,BLACK/BROWN,LILI,15120,Female,False,110,21,20.437100213219615,Medium
CHIHUAHUA,BLACK,SIERRA BLUE,15209,Female,True,40,4,4.020435069215557,Toy
ENG BULLDOG,BRINDLE,JADE,15122,Female,False,119,44,42.68345323741007,Medium
GOLDENDOODLE,WHITE/APRICOT,POPPY,15215,Female,False,79,68,71.67073954983923,Large
GOLDENDOODLE,GOLD,ROWAN,15215,Male,True,69,69,71.67073954983923,Large
GOLDEN RETRIEVER,BUFF,WILLIE,15146,Male,True,91,71,64.81926121372031,Large
GOLDENDOODLE,WHITE/BEIGE,ZUMA,15108,Female,False,84,67,71.67073954983923,Large
LABRADOR RETRIEVER,YELLOW,STELLA,15241,Female,False,41,55,71.38216365307999,Large
BEAGLE,WHITE/TAN,TIANA SCARLETTE,15017,Female,False,49,20,20.472150814053126,Medium
BEAGLE,WHITE/BLACK/BROWN,CHANDLER WINCHESTER LEMA,15017,Male,True,36,22,20.472150814053126,Medium
DACHSHUND,BROWN,SONNY,15221,Male,False,99,23,22.387126019945605,Medium
YORKSHIRE TERRIER,BROWN,TOOTSIE,15235,Female,True,148,6,6.085308056872038,Small
GOLDENDOODLE,RED,SAWYER,15044,Female,True,135,66,71.67073954983923,Large
AM PIT BULL TERRIER,GREY,HULK,15120,Male,True,94,65,62.09428223844282,Large
AUS SHEPHERD,WHITE/BLACK/BROWN,PIXIE,15024,Female,True,20,52,57.110864745011085,Large
BOXER,BLACK,GUINNESS,15126,Male,True,28,75,71.2519422863485,Large
AUS CATTLE DOG,WHITE/BLACK,INDIE,15143,Female,False,65,39,42.33974358974359,Medium
COCKAPOO,BLACK,SHADOW,15236,Female,False,68,42,35.861111111111114,Medium
ROTTWEILER,BLACK/TAN,TANK,15236,Male,True,90,121,115.73399014778325,Giant
GOLDENDOODLE,WHITE,TESSA,15143,Female,False,106,80,71.67073954983923,Large
GREAT DANE,BLACK,ONYX,15057,Male,False,42,194,152.86305732484075,Giant
LABRADOR RETRIEVER,YELLOW,CHLOE,15057,Female,False,141,66,71.38216365307999,Large
GOLDENDOODLE,GOLD/RED,PIZZELLE,15044,Female,False,66,78,71.67073954983923,Large
DACHSHUND,BLACK,TINLEY,15235,Female,False,129,20,22.387126019945605,Medium
BERNESE MTN DOG,BLACK,GUS BARNITZ,15220,Male,False,97,116,100.91791044776119,Giant
SHIH TZU,WHITE/TAN,MARTY MCFLY,15220,Male,False,145,13,12.004834810636583,Small
SHIH TZU,TAN,TANNEN,15220,Male,False,102,14,12.004834810636583,Small
GOLDEN RETRIEVER,RED,SKADI,15216,Female,True,81,60,64.81926121372031,Large
DOBERMAN PINSCHER,BLACK/TAN,SNIPER,15026,Male,False,29,89,87.36585365853658,Large
GREAT DANE,BLACK,PEARL,15044,Female,False,91,122,152.86305732484075,Giant
GOLDEN RETRIEVER,BROWN,MADDY,15237,Female,False,46,48,64.81926121372031,Large
YORKSHIRE TERRIER,SILVER,JAX,15102,Male,False,185,6,6.085308056872038,Small
BEAGLE,MULTI,SHAY,15133,Female,False,93,18,20.472150814053126,Medium
MALTESE,WHITE,MILLIE,15024,Female,True,58,3,3.9972677595628414,Toy
AM PIT BULL TERRIER,GREY,BLU,15104,Male,False,122,69,62.09428223844282,Large
FRENCH BULLDOG,FAWN,FRANCIS,15090,Male,False,111,19,20.437100213219615,Medium
GOLDEN RETRIEVER,GOLD,SKYE,15090,Female,False,34,55,64.81926121372031,Large
AM PIT BULL TERRIER,BROWN,GRACIE,15090,Female,False,69,54,62.09428223844282,Large
GOLDENDOODLE,BLACK,OREO,15065,Female,True,27,66,71.67073954983923,Large
DACHSHUND,BLACK/BROWN,SKYE,15057,Female,False,141,21,22.387126019945605,Medium
BORD COLLIE,WHITE/BLACK,ABBY,15122,Female,False,129,49,47.652482269503544,Large
GER SHORTHAIR POINT,WHITE/BROWN,SADIE,15143,Female,False,51,66,62.642140468227424,Large
LABRADOR RETRIEVER,BLACK,DAISY,15102,Female,False,28,75,71.38216365307999,Large
LABRADOODLE,WHITE,DOLLY,15025,Female,True,18,66,72.0954954954955,Large
PUG,FAWN,MAIZY,15147,Female,False,177,14,14.765407554671969,Small
LABRADOR RETRIEVER,YELLOW,LENA,15101,Female,False,25,66,71.38216365307999,Large
GOLDEN RETRIEVER,GOLD,CHASE,15237,Male,True,30,63,64.81926121372031,Large
MORKIE,GREY,GINGER,15218,Female,False,138,4,5.054421768707483,Toy
W HGHLND WH TERRIER,WHITE,WES,15243,Male,False,40,17,16.637735849056604,Small
CHIHUAHUA,WHITE/BROWN,MIDGET,15243,Female,False,123,3,4.020435069215557,Toy
SHIH TZU,WHITE/BROWN,LARRY,15243,Male,False,83,13,12.004834810636583,Small
DACHSHUND,RED,ROSIE,15037,Female,False,115,22,22.387126019945605,Medium
SHIH TZU,SPOTTED,KIKI,15143,Female,False,28,12,12.004834810636583,Small
AUS CATTLE DOG,BLACK/GREY,SYDNEY,15116,Female,False,156,42,42.33974358974359,Medium
SCHNAUZER MIN,BLACK,BAILEY,15037,Female,False,50,10,12.735135135135135,Small
BEAGLE,SPOTTED,JOE,15237,Male,True,86,23,20.472150814053126,Medium
BOSTON TERRIER,WHITE/BLACK,HITCH,15237,Male,False,190,19,16.468503937007874,Small
GOLDEN RETRIEVER,WHITE,MOE,15239,Male,False,22,68,64.81926121372031,Large
AM PIT BULL TERRIER,WHITE/GREY,KONA,15143,Male,False,142,80,62.09428223844282,Large
LABRADOR RETRIEVER,BROWN,BOOMER,15024,Male,False,122,72,71.38216365307999,Large
GOLDENDOODLE,BROWN,WILLSON,15143,Male,True,93,77,71.67073954983923,Large
AUS SHEPHERD,MERLE,CORY,15090,Male,False,140,54,57.110864745011085,Large
ENG BULLDOG,BROWN,POPPY MARIE,15223,Female,False,135,41,42.68345323741007,Medium
LABRADOR RETRIEVER,BLACK,SHELBY,15237,Female,True,77,65,71.38216365307999,Large
JACK RUSSEL TERRIER,WHITE/TAN,ELEANOR,15223,Female,False,43,10,10.99581589958159,Small
GOLDEN RETRIEVER,BLONDE,MANDY,15025,Female,False,18,54,64.81926121372031,Large
SCHNAUZER MIN,BLACK/TAN,BAILEY,15202,Female,False,158,15,12.735135135135135,Small
BEAGLE,WHITE/BLACK/BROWN,JAKE,15216,Male,False,99,20,20.472150814053126,Medium
SIB HUSKY,BLACK WITH WHITE,MONA,15235,Female,False,47,47,52.40229885057471,Large
LABRADOR RETRIEVER,YELLOW,PIPER,15090,Female,False,36,75,71.38216365307999,Large
LABRADOR RETRIEVER,BROWN,COOPER,15116,Female,False,29,74,71.38216365307999,Large
BEAGLE,MULTI,THEMBA,15241,Male,True,150,20,20.472150814053126,Medium
LABRADOR RETRIEVER,WHITE,WHISKEY,15090,Female,True,123,79,71.38216365307999,Large
WELSH CORGI PEMBROK,WHITE/BLACK/BROWN,GIGI,15106,Female,False,164,32,33.037151702786375,Medium
BORD COLLIE,TRI-COLOR,JAX,15143,Male,False,66,45,47.652482269503544,Large
YORKSHIRE TERRIER,SILVER,AGNES,15090,Female,False,127,6,6.085308056872038,Small
BORD COLLIE,WHITE/BLACK,BRODY,15227,Male,True,93,48,47.652482269503544,Large
DOBERMAN PINSCHER,BLACK,SHANNON,15120,Female,False,136,89,87.36585365853658,Large
ENG SPRINGER SPANIE,SPOTTED,LINUS,15071,Male,False,122,45,44.726027397260275,Medium
YORKSHIRE TERRIER,BLACK/TAN,BENTLEY,15090,Male,False,104,6,6.085308056872038,Small
BOSTON TERRIER,WHITE/TAN,MAUDE,15229,Female,False,57,17,16.468503937007874,Small
YORKSHIRE TERRIER,BLONDE,SAM,15090,Male,False,39,8,6.085308056872038,Small
CAV KING CHAR SPANI,WHITE/BLACK/BROWN,ROSIE,15057,Female,False,187,16,14.696850393700787,Small
GREAT PYRENEES,WHITE,FINNLEY,15234,Female,True,22,98,103.94090909090909,Giant
COCKAPOO,BROWN,NICOLAS,15216,Male,False,153,41,35.861111111111114,Medium
GREAT DANE,WHITE/BLACK,WILLOW,15241,Female,False,82,113,152.86305732484075,Giant
LABRADOR RETRIEVER,BROWN,CHLOE,15017,Female,True,53,75,71.38216365307999,Large
AUS SHEPHERD,WHITE/BROWN,MOXXI,15205,Female,False,129,56,57.110864745011085,Large
GER SHEPHERD,BLACK/TAN,MILA,15057,Female,True,90,78,81.36481303930968,Large
LABRADOODLE,WHITE,DAISY,15218,Female,False,59,80,72.0954954954955,Large
AM PIT BULL TERRIER,RED,CHARLIE,15101,Female,False,69,63,62.09428223844282,Large
YORKSHIRE TERRIER,BLACK/BROWN,GRIZZLY,15090,Male,False,179,6,6.085308056872038,Small
GER SHEPHERD,BLACK/BROWN,BONNIE,15108,Female,False,48,73,81.36481303930968,Large
GOLDENDOODLE,TAN,GORDIE,15243,Male,False,104,62,71.67073954983923,Large
SHIH TZU,WHITE,LILY,15122,Female,False,92,13,12.004834810636583,Small
GOLDEN RETRIEVER,GOLD,BENTLEY,15236,Male,True,124,80,64.81926121372031,Large
LABRADOR RETRIEVER,OTHER,SAMANTHA,15131,Female,False,68,61,71.38216365307999,Large
GOLDENDOODLE,WHITE/RED,RILEY,15057,Male,True,118,71,71.67073954983923,Large
GOLDEN RETRIEVER,BROWN,BELLA,15239,Female,True,105,57,64.81926121372031,Large
GOLDEN RETRIEVER,BROWN,BELLA,15239,Female,False,25,59,64.81926121372031,Large
GOLDEN RETRIEVER,BROWN,MARLEE,15239,Female,False,32,67,64.81926121372031,Large
SHIH TZU,WHITE/BLACK,MARLEY,15235,Male,True,119,13,12.004834810636583,Small
SHIH TZU,BROWN,GINGER,15235,Female,True,189,9,12.004834810636583,Small
GOLDEN RETRIEVER,YELLOW,THEO,15218,Male,False,94,82,64.81926121372031,Large
BICHON FRISE,WHITE,BELLA,15238,Female,False,96,11,13.739583333333334,Small
GER SHORTHAIR POINT,BLACK/BROWN/GREY,BUDDY,15018,Male,False,19,69,62.642140468227424,Large
GER SHEPHERD,BLACK/BROWN,DRAKA,15215,Female,True,79,79,81.36481303930968,Large
BOXER,BRINDLE,BAXTER,15239,Male,False,87,75,71.2519422863485,Large
GER SHEPHERD,BLACK/BROWN,ATHENA,15144,Female,True,106,76,81.36481303930968,Large
AUS SHEPHERD,MULTI,ELVIS,15108,Male,True,168,69,57.110864745011085,Large
AUS CATTLE DOG,MULTI,KING,15236,Male,False,93,45,42.33974358974359,Medium
BEAGLE,WHITE/BLACK,DAISY,15234,Male,True,80,22,20.472150814053126,Medium
AM PIT BULL TERRIER,WHITE/GREY,KOBA,15147,Male,True,115,67,62.09428223844282,Large
SHETLAND SHEEPDOG,WHITE/BLACK,CHIQUITA,15243,Female,True,137,15,18.449101796407184,Small
SHIH TZU,WHITE/BLACK,BUDDY,15108,Male,False,141,13,12.004834810636583,Small
BICHON FRISE,WHITE,FREDDIE,15106,Male,False,41,14,13.739583333333334,Small
YORKSHIRE TERRIER,BLACK/BROWN,ROSIE,15116,Female,False,57,5,6.085308056872038,Small
SHIH TZU,SPOTTED,HAPPY HARLEY,15116,Male,False,81,13,12.004834810636583,Small
SHIH TZU,WHITE/TAN,KING,15136,Male,True,167,14,12.004834810636583,Small
JACK RUSSEL TERRIER,BEIGE,NUGGET,15229,Male,False,126,11,10.99581589958159,Small
GOLDEN RETRIEVER,WHITE,RYDER,15238,Male,True,67,63,64.81926121372031,Large
DOBERMAN PINSCHER,BLACK,SIR FRANCIS VON BARKSALOT,15241,Male,False,133,82,87.36585365853658,Large
ENG BULLDOG,BROWN,WATSON,15241,Male,False,137,47,42.68345323741007,Medium
GOLDEN RETRIEVER,GOLD,HUGS,15108,Male,False,68,65,64.81926121372031,Large
GOLDEN RETRIEVER,GOLD,ROWDY,15108,Male,False,21,72,64.81926121372031,Large
HAVANESE,BLONDE,HANK,15071,Male,False,133,11,10.14186046511628,Small
