License,Breed,Color,DogName,OwnerZip,Gender,Intact,Age,Weight
3647606,LABRADOR RETRIEVER,BLACK,TANK,15140,Male,False,138,67
3647609,LABRADOR RETRIEVER,BROWN,MOOSE,15237,Male,True,107,79
3647610,HAVANESE,SPOTTED,THEO,15220,Male,False,5,3
3647611,POODLE TOY,BROWN,MURPHY,15218,Male,True,18,4
3647612,LABRADOR RETRIEVER,BLACK,PEARL,15108,Female,False,106,62
3647614,CAV KING CHAR SPANI,WHITE/BROWN,BLUE,15146,Male,False,164,13
3647621,ENG BULLDOG,WHITE/BROWN,HOWIE,15143,Male,False,28,46
3647622,GER SHEPHERD,SABLE,KATIE,15209,Female,False,46,79
3647624,BEAGLE,WHITE/BLACK,DAISY,15234,Male,True,95,20
3647626,LABRADOR RETRIEVER,BLACK,BEAUTY,15137,Female,False,52,59
3647628,AUS SHEPHERD,BROWN,JAX,15220,Male,False,3,10
3647629,LABRADOR RETRIEVER,BLACK,BEAUTY,15137,Female,False,93,60
3647633,BEAGLE,MULTI,GUS,15237,Male,True,70,18
3647635,LABRADOR RETRIEVER,BLACK,WINNIE,15101,Female,False,58,81
3647636,GOLDEN RETRIEVER,WHITE,GEORGE,15235,Male,False,19,61
3647642,BICHON FRISE,WHITE,RICHIE,15221,Male,False,23,12
3647644,SIB HUSKY,GREY,RANGER,15218,Male,False,139,45
3647645,MORKIE,WHITE,SASSY,15227,Female,False,118,5
3647647,BICHON FRISE,WHITE,BARNEY,15205,Male,True,95,14
3647648,JACK RUSSEL TERRIER,WHITE/BLACK,LADY,15145,Female,False,151,11
3647655,CHIHUAHUA,BROWN,RICHARD,15136,Male,True,35,5
3647656,HAVANESE,SABLE,SACCHI,15146,Male,False,165,11
3647658,GOLDENDOODLE,BLACK,EMMY,15017,Female,False,34,72
3647659,GREAT DANE,WHITE/BLACK,LOLA,15044,Female,True,45,159
3647664,GOLDEN RETRIEVER,BROWN,SIMBA,15108,Male,False,131,74
3647665,CHIHUAHUA,WHITE,DAISY,15227,Female,False,70,4
3647667,AM PIT BULL TERRIER,RED/BRINDLE,BEAR,15044,Male,True,50,68
3647670,GER SHEPHERD,BLACK/TAN,MARA,15131,Female,False,27,69
3647675,CHIHUAHUA,TAN,TT,15102,Female,False,140,3
3647684,DACHSHUND,RED,PUMPKIN,15136,Female,False,42,20
3647685,ENG SPRINGER SPANIE,WHITE/BLACK,OLIVE,15234,Female,False,71,44
3647687,BORD COLLIE,WHITE/BLACK,ROCKY,15209,Male,True,7,20
3647688,FRENCH BULLDOG,BLUE/TAN,SULLY,15236,Male,True,61,23
3647689,LABRADOR RETRIEVER,BLACK,BALOO,15236,Male,True,14,64
3647690,GOLDEN RETRIEVER,OTHER,CRICKET,15228,Female,False,32,68
3647692,BOSTON TERRIER,BLACK WITH WHITE,ROXI,15116,Female,True,20,18
3647693,HAVANESE,WHITE/BLACK,OREO,15106,Male,False,143,9
3647694,HAVANESE,TRI-COLOR,COCOA,15106,Male,False,87,12
3647695,HAVANESE,WHITE/BLACK,PEANUT,15106,Male,False,24,13
3647697,GOLDEN RETRIEVER,GOLD,FENNY,15065,Male,True,63,77
3647701,HAVANESE,WHITE/BLACK,MURPHY,15017,Male,True,48,11
3647705,LABRADOR RETRIEVER,RED,CAMPBELL,15221,Male,False,29,67
3647707,AM PIT BULL TERRIER,WHITE/BLACK,VEGA,15122,Female,True,64,65
3647708,GOLDEN RETRIEVER,RED,LACEY,15017,Female,False,133,62
3647709,GOLDEN RETRIEVER,BLONDE,REAGAN,15017,Female,False,141,66
3647710,ENG SPRINGER SPANIE,WHITE/BLACK,BELLA,15234,Female,True,22,44
3647711,AUS SHEPHERD,MERLE,SYLVIE,15234,Female,True,41,51
3647714,GOLDEN RETRIEVER,GOLD,RYLEIGH WILSON,15108,Female,False,61,58
3647720,WELSH CORGI PEMBROK,WHITE/RED,KIP,15108,Male,True,4,7
3647721,GREAT PYRENEES,WHITE/BLACK/BROWN,AUTUMN BROWN OHLIGER,15106,Female,True,51,116
3647723,GER SHORTHAIR POINT,SPOTTED,KNUTE,15216,Male,False,108,70
3647724,BEAGLE,TRI-COLOR,ENZO,15102,Male,True,27,21
3647725,CAV KING CHAR SPANI,RED,LADY ROOK,15120,Female,True,109,14
3647728,ROTTWEILER,BLACK,MAEVE,15108,Female,False,94,118
3647734,SCHNAUZER MIN,WHITE,GEORGIA GIRL,15236,Female,False,136,13
3647735,GER SHEPHERD,BLACK/BROWN,MILLIE,15102,Female,False,71,79
3647736,CAV KING CHAR SPANI,CREAM,BEAUTY,15229,Female,False,64,13
3647737,FRENCH BULLDOG,BLACK,LOUIE,15243,Male,False,176,23
3647741,SHIH TZU,WHITE/BLACK,TAZZIE LETO,15136,Female,False,25,11
3647743,YORKSHIRE TERRIER,BLACK/SILVER,WILLIE,15044,Male,False,81,6
3647746,GOLDEN RETRIEVER,GOLD,TOBY,15090,Male,False,134,71
3647747,SHIH TZU,WHITE/GREY,BINGO,15239,Male,True,179,11
3647748,DOBERMAN PINSCHER,BROWN,DOBSON,15102,Male,True,38,106
3647749,BOXER,BROWN,BOWIE GASE,15136,Male,False,96,93
3647750,GOLDENDOODLE,WHITE,CHARLEY,15057,Male,False,41,63
3647753,GER SHEPHERD,BLACK,POP TART,15229,Female,True,79,83
3647755,POMERANIAN,SPOTTED,PIPER,15084,Female,True,93,3
3647758,GOLDENDOODLE,BROWN,BENEDETTO,15065,Male,True,65,78
3647760,SHIH TZU,WHITE/TAN,CHARLIE,15236,Male,False,39,13
3647763,CAV KING CHAR SPANI,SPOTTED,BENSON,15102,Male,False,178,17
3647764,SCHNAUZER MIN,SPOTTED,MORTY,15215,Male,False,123,12
3647767,GER SHORTHAIR POINT,BLACK,GOMER PYLE,15065,Male,False,81,61
3647768,GER SHORTHAIR POINT,BLACK,GUNNER,15065,Male,False,143,63
3647769,PUGGLE,BROWN,FRANKIE,15071,Female,False,88,13
3647771,LABRADOR RETRIEVER,BLACK,AXLE,15065,Male,False,24,67
3647773,AUS SHEPHERD,BLACK/BROWN,HAZEL,15024,Female,True,118,67
3647777,SIB HUSKY,SPOTTED,A-KIA,15237,Female,False,9,25
3647778,GER SHEPHERD,BLACK/BROWN,THOR,15108,Male,False,137,88
3647783,MORKIE,WHITE/BLACK,COOPER,15239,Male,False,61,5
3647787,GOLDEN RETRIEVER,GOLD,NALA,15102,Female,False,52,72
3647790,CHIHUAHUA,BROWN,BEAN,15108,Male,False,189,5
3647792,BEAGLE,WHITE/BROWN,SALLY,15146,Female,False,98,19
3647794,GOLDEN RETRIEVER,RED,HUDSON,15143,Female,False,45,53
3647796,CAV KING CHAR SPANI,RED/BROWN,OLIVER,15236,Male,True,98,14
3647798,LABRADOODLE,TAN,CHARLIE,15227,Male,True,33,74
3647799,AUS SHEPHERD,TRI-COLOR,ELI,15142,Male,False,86,55
3647800,CAV KING CHAR SPANI,TRI-COLOR,LUCY,15142,Female,False,137,14
3647805,SIB HUSKY,WHITE/BLACK,ROXIE,15234,Female,False,7,21
3647807,GOLDEN RETRIEVER,GOLD,GRIFFEN,15101,Male,False,41,62
3647809,YORKSHIRE TERRIER,BLACK/TAN,YAOYAO,15090,Female,False,52,5
3647810,BEAGLE,WHITE/BLACK,JOJO,15057,Female,False,23,20
3647811,BEAGLE,WHITE/BROWN,HONEY,15057,Female,False,97,19
3647812,SHIH TZU,BLACK,WILLOW,15057,Female,False,105,12
3647813,GOLDEN RETRIEVER,BROWN,BOUJEE,15236,Male,True,51,64
3647814,GER SHEPHERD,BLACK/BROWN,ZAYA,15146,Female,False,3,17
3647815,GER SHEPHERD,BLACK/TAN,GUNTHER,15146,Male,False,119,86
3647816,GER SHEPHERD,BLACK/TAN,JAMESON,15146,Male,False,64,83
3647818,AM PIT BULL TERRIER,WHITE/BLACK,EMI,15236,Female,False,64,51
3647819,GER SHEPHERD,WHITE/BLACK,RANGER,15146,Male,False,125,102
3647820,GER SHEPHERD,BLACK,MAC,15057,Female,False,139,86
3647821,GER SHORTHAIR POINT,WHITE/BROWN,KAISER,15221,Male,True,23,55
3647824,GOLDENDOODLE,RED,DOLLY,15102,Female,True,90,69
3647825,LABRADOODLE,RED,DAISY,15102,Female,True,57,61
3647826,GOLDENDOODLE,BROWN,DUNCAN,15102,Male,True,59,70
3647827,GER SHEPHERD,BLACK/BROWN,RUGER,15227,Male,False,74,96
3647832,CHIHUAHUA,FAWN,REMI,15146,Male,False,121,5
3647834,GOLDEN RETRIEVER,GOLD,FOREST,15147,Male,True,144,72
3647835,AUS SHEPHERD,BLACK/BROWN,LOKI,15238,Male,False,61,58
3647836,WELSH CORGI PEMBROK,WHITE/BROWN,EINSTIEN,15238,Male,True,135,34
3647838,SIB HUSKY,WHITE/BLACK,SKY BRAUN,15025,Female,True,73,52
3647839,SIB HUSKY,WHITE/BLACK,CODY BRAUM,15025,Male,False,16,50
3647843,GOLDENDOODLE,BROWN,MARLEY,15241,Female,False,101,63
3647845,GER SHEPHERD,BLACK/TAN,STRAWBERRY,15120,Female,True,42,70
3647846,BASSET HOUND,WHITE/BROWN,RUPERT,15209,Male,False,10,43
3647848,BOXER,BRINDLE,HOPE,15057,Female,False,151,59
3647849,BOXER,WHITE,DAISY,15057,Female,True,162,72
3647850,HAVANESE,WHITE/BLACK,MEEKO,15215,Female,False,124,11
3647851,AM PIT BULL TERRIER,WHITE/BROWN,JUNIOR,15122,Male,True,104,56
3647854,GOLDENDOODLE,WHITE,PAPI CHULD,15243,Male,True,74,76
3647856,AM PIT BULL TERRIER,BROWN,WINSLOW,15116,Male,False,113,70
3647860,LABRADOR RETRIEVER,BLACK,SHADOW,15108,Male,True,55,77
3647862,MIN PINSCHER,BLACK,PENNY,15227,Female,False,81,8
3647863,BOXER,BRINDLE,GABBIE,15133,Female,False,162,76
3647864,LABRADOR RETRIEVER,BROWN,ZARA,15237,Male,False,27,79
3647867,BOSTON TERRIER,BLACK,ARCHIE,15044,Male,False,168,18
3647870,COCKAPOO,BROWN/TAN,POPTART,15146,Female,False,52,37
3647872,AUS SHEPHERD,SPOTTED,COOKIE,15206,Female,False,140,58
3647873,CHIHUAHUA,BROWN,EL GUAPPO,15139,Male,True,61,4
3647874,CAV KING CHAR SPANI,SPOTTED,BENTLY,15025,Female,False,25,14
3647876,GREAT DANE,BROWN,PEPPER,15139,Female,False,8,91
3647878,BEAGLE,SPOTTED,ROCKY,15102,Male,False,87,17
3647881,ENG BULLDOG,WHITE/TAN,RUBBULL,15238,Male,False,16,42
3647882,GOLDEN RETRIEVER,GOLD,CHASE,15146,Male,False,66,77
3647883,GOLDEN RETRIEVER,BROWN,LINCOLN,15101,Male,False,66,73
3647884,GOLDEN RETRIEVER,GOLD,PEACHES,15146,Female,False,35,50
3647886,JACK RUSSEL TERRIER,SPOTTED,COCOA BEANS,15229,Female,False,9,4
3647887,BASSET HOUND,SPOTTED,BRIX,15136,Male,False,20,57
3647888,CHIHUAHUA,TAN,JULIUS,15044,Male,False,173,5
3647891,LABRADOR RETRIEVER,BROWN,MIKA,15044,Female,False,43,75
3647894,GOLDENDOODLE,APRICOT,COOPER,15143,Male,False,92,71
3647895,SIB HUSKY,WHITE/BLACK,KRYPTO,15209,Male,False,4,14
3647900,LABRADOR RETRIEVER,BLACK,BUDDY,15239,Male,True,28,74
3647904,PUG,FAWN,ALFRED,15057,Male,False,36,16
3647905,DACHSHUND,RED,SENNA,15131,Female,False,167,21
3647907,HAVANESE,WHITE,DARCIE MARIE,15234,Female,False,78,10
3647909,YORKSHIRE TERRIER,BLACK/TAN,JAKE,15143,Male,False,62,7
3647911,ENG BULLDOG,BLUE,LAYLA,15235,Female,False,10,23
3647912,SIB HUSKY,WHITE/BLACK,FINN,15101,Male,False,135,56
3647913,PUGGLE,TAN,TUCKER,15126,Male,False,124,14
3647917,SHIH TZU,BLACK,JASELINE,15120,Female,False,5,3
3647921,LABRADOR RETRIEVER,BLACK,MARIO,15057,Male,True,8,33
3647924,ROTTWEILER,BLACK/BROWN,KANE,15227,Male,False,26,124
3647925,LABRADOR RETRIEVER,BROWN,OLLIE,15210,Male,True,16,73
3647926,BICHON FRISE,WHITE,COOPER,15202,Male,False,118,14
3647928,FRENCH BULLDOG,BLACK/BROWN,LILI,15120,Female,False,110,21
3647929,CHIHUAHUA,BLACK,SIERRA BLUE,15209,Female,True,40,4
3647930,ENG BULLDOG,BRINDLE,JADE,15122,Female,False,119,44
3647933,GOLDENDOODLE,WHITE/APRICOT,POPPY,15215,Female,False,79,68
3647938,GOLDENDOODLE,GOLD,ROWAN,15215,Male,True,69,69
3647939,GOLDEN RETRIEVER,BUFF,WILLIE,15146,Male,True,91,71
3647940,GOLDENDOODLE,WHITE/BEIGE,ZUMA,15108,Female,False,84,67
3647943,LABRADOR RETRIEVER,YELLOW,STELLA,15241,Female,False,41,55
3647944,LABRADOR RETRIEVER,BLACK,PENNY,15108,Female,False,12,48
3647945,BEAGLE,WHITE/TAN,TIANA SCARLETTE,15017,Female,False,49,20
3647946,BEAGLE,WHITE/BLACK/BROWN,ROSS,15017,Male,True,4,6
3647947,BEAGLE,WHITE/BLACK/BROWN,CHANDLER WINCHESTER LEMA,15017,Male,True,36,22
3647950,DACHSHUND,BROWN,SONNY,15221,Male,False,99,23
3647952,YORKSHIRE TERRIER,BROWN,TOOTSIE,15235,Female,True,148,6
3647953,GOLDENDOODLE,RED,SAWYER,15044,Female,True,135,66
3647954,AM PIT BULL TERRIER,GREY,HULK,15120,Male,True,94,65
3647955,AUS SHEPHERD,WHITE/BLACK/BROWN,PIXIE,15024,Female,True,20,52
3647962,BOXER,BLACK,GUINNESS,15126,Male,True,28,75
3647963,AUS CATTLE DOG,WHITE/BLACK,INDIE,15143,Female,False,65,39
3647964,COCKAPOO,BLACK,SHADOW,15236,Female,False,68,42
3647967,ROTTWEILER,BLACK/TAN,TANK,15236,Male,True,90,121
3647969,HAVANESE,WHITE/BROWN,SNICKERS,15106,Male,False,3,1
3647970,GOLDENDOODLE,WHITE,TESSA,15143,Female,False,106,80
3647971,GREAT DANE,BLACK,ONYX,15057,Male,False,42,194
3647972,LABRADOR RETRIEVER,YELLOW,CHLOE,15057,Female,False,141,66
3647974,GOLDENDOODLE,GOLD/RED,PIZZELLE,15044,Female,False,66,78
3647976,DACHSHUND,BLACK,TINLEY,15235,Female,False,129,20
3647978,BERNESE MTN DOG,BLACK,GUS BARNITZ,15220,Male,False,97,116
3647979,SHIH TZU,WHITE/TAN,MARTY MCFLY,15220,Male,False,145,13
3647980,SHIH TZU,TAN,TANNEN,15220,Male,False,102,14
3647981,PUG,FAWN,ELLIE,15044,Female,True,10,10
3647983,GOLDEN RETRIEVER,RED,SKADI,15216,Female,True,81,60
3647985,DOBERMAN PINSCHER,BLACK/TAN,SNIPER,15026,Male,False,29,89
3647986,GREAT DANE,BLACK,PEARL,15044,Female,False,91,122
3647987,GOLDEN RETRIEVER,BROWN,MADDY,15237,Female,False,46,48
3647993,YORKSHIRE TERRIER,SILVER,JAX,15102,Male,False,185,6
3647994,BEAGLE,MULTI,SHAY,15133,Female,False,93,18
3647995,MALTESE,WHITE,MILLIE,15024,Female,True,58,3
3647996,AM PIT BULL TERRIER,GREY,BLU,15104,Male,False,122,69
3647997,FRENCH BULLDOG,FAWN,FRANCIS,15090,Male,False,111,19
3647999,GOLDEN RETRIEVER,GOLD,SKYE,15090,Female,False,34,55
3648001,BOSTON TERRIER,WHITE/BLACK,CHLOE,15216,Female,False,4,4
3648002,AM PIT BULL TERRIER,BROWN,GRACIE,15090,Female,False,69,54
3648003,GOLDENDOODLE,BLACK,OREO,15065,Female,True,27,66
3648006,DACHSHUND,BLACK/BROWN,SKYE,15057,Female,False,141,21
3648007,DACHSHUND,BLACK/TAN,ROO,15057,Female,False,3,3
3648008,BORD COLLIE,WHITE/BLACK,ABBY,15122,Female,False,129,49
3648009,GER SHORTHAIR POINT,WHITE/BROWN,SADIE,15143,Female,False,51,66
3648012,LABRADOR RETRIEVER,BLACK,DAISY,15102,Female,False,28,75
3648013,LABRADOODLE,WHITE,DOLLY,15025,Female,True,18,66
3648014,PUG,FAWN,MAIZY,15147,Female,False,177,14
3648018,BICHON FRISE,WHITE,CARMENTA,15122,Female,False,6,4
3648020,LABRADOR RETRIEVER,YELLOW,LENA,15101,Female,False,25,66
3648021,GOLDEN RETRIEVER,GOLD,CHASE,15237,Male,True,30,63
3648022,MORKIE,GREY,GINGER,15218,Female,False,138,4
3648026,W HGHLND WH TERRIER,WHITE,WES,15243,Male,False,40,17
3648029,CHIHUAHUA,WHITE/BROWN,MIDGET,15243,Female,False,123,3
3648030,SHIH TZU,WHITE/BROWN,LARRY,15243,Male,False,83,13
3648031,DACHSHUND,RED,ROSIE,15037,Female,False,115,22
3648034,SHIH TZU,SPOTTED,KIKI,15143,Female,False,28,12
3648035,AUS CATTLE DOG,BLACK/GREY,SYDNEY,15116,Female,False,156,42
3648037,SCHNAUZER MIN,BLACK,BAILEY,15037,Female,False,50,10
3648039,BEAGLE,SPOTTED,JOE,15237,Male,True,86,23
3648041,BOSTON TERRIER,WHITE/BLACK,HITCH,15237,Male,False,190,19
3648044,GOLDEN RETRIEVER,WHITE,MOE,15239,Male,False,22,68
3648045,AM PIT BULL TERRIER,WHITE/GREY,KONA,15143,Male,False,142,80
3648047,LABRADOR RETRIEVER,BROWN,BOOMER,15024,Male,False,122,72
3648048,GOLDENDOODLE,BROWN,WILLSON,15143,Male,True,93,77
3648051,AUS SHEPHERD,MERLE,CORY,15090,Male,False,140,54
3648052,ENG BULLDOG,BROWN,POPPY MARIE,15223,Female,False,135,41
3648053,LABRADOR RETRIEVER,BLACK,SHELBY,15237,Female,True,77,65
3648054,JACK RUSSEL TERRIER,WHITE/TAN,ELEANOR,15223,Female,False,43,10
3648056,GOLDEN RETRIEVER,BLONDE,MANDY,15025,Female,False,18,54
3648058,SCHNAUZER MIN,BLACK/TAN,BAILEY,15202,Female,False,158,15
3648059,BEAGLE,WHITE/BLACK/BROWN,JAKE,15216,Male,False,99,20
3648063,SIB HUSKY,BLACK WITH WHITE,MONA,15235,Female,False,47,47
3648064,LABRADOR RETRIEVER,YELLOW,PIPER,15090,Female,False,36,75
3648066,LABRADOR RETRIEVER,BROWN,COOPER,15116,Female,False,29,74
3648069,BEAGLE,MULTI,THEMBA,15241,Male,True,150,20
3648070,LABRADOR RETRIEVER,WHITE,WHISKEY,15090,Female,True,123,79
3648075,WELSH CORGI PEMBROK,WHITE/BLACK/BROWN,GIGI,15106,Female,False,164,32
3648076,BORD COLLIE,TRI-COLOR,JAX,15143,Male,False,66,45
3648077,YORKSHIRE TERRIER,SILVER,AGNES,15090,Female,False,127,6
3648078,BORD COLLIE,WHITE/BLACK,BRODY,15227,Male,True,93,48
3648080,DOBERMAN PINSCHER,BROWN/TAN,CHAMP,15120,Male,False,13,73
3648081,DOBERMAN PINSCHER,BLACK,SHANNON,15120,Female,False,136,89
3648083,ENG SPRINGER SPANIE,SPOTTED,LINUS,15071,Male,False,122,45
3648084,YORKSHIRE TERRIER,BLACK/TAN,BENTLEY,15090,Male,False,104,6
3648085,BOSTON TERRIER,WHITE/TAN,MAUDE,15229,Female,False,57,17
3648086,YORKSHIRE TERRIER,BLONDE,SAM,15090,Male,False,39,8
3648091,CAV KING CHAR SPANI,WHITE/BLACK/BROWN,ROSIE,15057,Female,False,187,16
3648093,GREAT PYRENEES,WHITE,FINNLEY,15234,Female,True,22,98
3648094,COCKAPOO,BROWN,NICOLAS,15216,Male,False,153,41
3648096,GREAT DANE,WHITE/BLACK,WILLOW,15241,Female,False,82,113
3648098,LABRADOR RETRIEVER,BROWN,CHLOE,15017,Female,True,53,75
3648100,AUS SHEPHERD,WHITE/BROWN,MOXXI,15205,Female,False,129,56
3648101,GER SHEPHERD,BLACK/TAN,MILA,15057,Female,True,90,78
3648103,LABRADOODLE,WHITE,DAISY,15218,Female,False,59,80
3648104,AM PIT BULL TERRIER,RED,CHARLIE,15101,Female,False,69,63
3648105,YORKSHIRE TERRIER,BLACK/BROWN,GRIZZLY,15090,Male,False,179,6
3648106,GER SHEPHERD,BLACK/BROWN,BONNIE,15108,Female,False,48,73
3648108,GOLDENDOODLE,TAN,GORDIE,15243,Male,False,104,62
3648109,SHIH TZU,WHITE,LILY,15122,Female,False,92,13
3648111,GOLDEN RETRIEVER,GOLD,BENTLEY,15236,Male,True,124,80
3648112,LABRADOR RETRIEVER,OTHER,SAMANTHA,15131,Female,False,68,61
3648113,GOLDENDOODLE,WHITE/RED,RILEY,15057,Male,True,118,71
3648115,GOLDEN RETRIEVER,BROWN,BELLA,15239,Female,True,105,57
3648116,GOLDEN RETRIEVER,BROWN,BELLA,15239,Female,False,25,59
3648118,GOLDEN RETRIEVER,BROWN,MARLEE,15239,Female,False,32,67
3648119,SHIH TZU,WHITE/BLACK,MARLEY,15235,Male,True,119,13
3648120,SHIH TZU,BROWN,GINGER,15235,Female,True,189,9
3648122,GOLDEN RETRIEVER,YELLOW,THEO,15218,Male,False,94,82
3648124,BICHON FRISE,WHITE,BELLA,15238,Female,False,96,11
3648125,GER SHORTHAIR POINT,BLACK/BROWN/GREY,BUDDY,15018,Male,False,19,69
3648127,GER SHEPHERD,BLACK/BROWN,DRAKA,15215,Female,True,79,79
3648128,BOXER,BRINDLE,BAXTER,15239,Male,False,87,75
3648129,GER SHEPHERD,BLACK/BROWN,ATHENA,15144,Female,True,106,76
3648131,AUS SHEPHERD,MULTI,ELVIS,15108,Male,True,168,69
3648132,AUS CATTLE DOG,MULTI,KING,15236,Male,False,93,45
3648135,BEAGLE,WHITE/BLACK,DAISY,15234,Male,True,80,22
3648138,AM PIT BULL TERRIER,WHITE/GREY,KOBA,15147,Male,True,115,67
3648141,SHETLAND SHEEPDOG,WHITE/BLACK,CHIQUITA,15243,Female,True,137,15
3648142,SHIH TZU,WHITE/BLACK,BUDDY,15108,Male,False,141,13
3648144,BICHON FRISE,WHITE,FREDDIE,15106,Male,False,41,14
3648154,YORKSHIRE TERRIER,BLACK/BROWN,ROSIE,15116,Female,False,57,5
3648155,SHIH TZU,SPOTTED,HAPPY HARLEY,15116,Male,False,81,13
3648156,SHIH TZU,WHITE/TAN,KING,15136,Male,True,167,14
3648157,JACK RUSSEL TERRIER,BEIGE,NUGGET,15229,Male,False,126,11
3648159,GOLDEN RETRIEVER,WHITE,RYDER,15238,Male,True,67,63
3648160,DOBERMAN PINSCHER,BLACK,SIR FRANCIS VON BARKSALOT,15241,Male,False,133,82
3648162,ENG BULLDOG,BROWN,WATSON,15241,Male,False,137,47
3648164,GOLDEN RETRIEVER,GOLD,HUGS,15108,Male,False,68,65
3648165,GOLDEN RETRIEVER,GOLD,ROWDY,15108,Male,False,21,72
3648166,HAVANESE,BLONDE,HANK,15071,Male,False,133,11
3648170,ROTTWEILER,BLACK/BROWN,ROXY FLYNN,15243,Female,True,78,119
3648173,SHETLAND SHEEPDOG,WHITE/TAN,ODIE,15210,Male,True,149,19
3648174,CHIHUAHUA,TRI-COLOR,BAILEY,15108,Male,False,148,5
3648181,SHIH TZU,WHITE/BLACK,BELLA,15057,Female,False,50,12
3648185,LABRADOR RETRIEVER,BROWN,GUNNER,15241,Male,False,113,73
3648187,BASSET HOUND,WHITE/BLACK/BROWN,HOAGIE,15243,Female,False,57,59
3648189,DOBERMAN PINSCHER,RED,BELLA,15227,Female,False,109,75
3648191,GER SHEPHERD,BLACK/BROWN,LUKA,15108,Male,True,5,23
3648195,GER SHEPHERD,BLACK/BROWN,QIUNN,15236,Male,False,8,37
3648197,ENG SPRINGER SPANIE,WHITE/BLACK,PEPPER,15090,Female,True,66,36
3648198,ENG SPRINGER SPANIE,WHITE/LIVER,OTIS,15090,Male,True,87,40
3648199,GOLDEN RETRIEVER,GOLD,EMMA,15136,Female,False,73,66
3648203,DACHSHUND,BLACK/BROWN,BUCKEYE,15221,Male,False,166,22
3648205,AUS SHEPHERD,RED,TEDDY,15229,Male,True,69,58
3648207,GER SHORTHAIR POINT,WHITE/LIVER,BRUNO,15220,Male,True,77,62
3648208,LABRADOR RETRIEVER,BLACK,COOPER,15116,Male,False,19,69
3648211,AM PIT BULL TERRIER,WHITE/BROWN,FINESSE,15228,Female,False,131,72
3648214,SHIH TZU,WHITE/TAN,BONNIE,15237,Female,True,130,13
3648215,SHIH TZU,WHITE/BRINDLE,BELLA,15237,Female,True,170,10
3648218,GER SHEPHERD,BLACK/TAN,JINGLES,15102,Male,False,79,81
3648219,BOXER,FAWN,WINSTON,15237,Male,False,22,69
3648223,WELSH CORGI PEMBROK,BLACK,KASHI,15106,Female,False,79,31
3648224,WELSH CORGI PEMBROK,BLACK,BRUCE,15106,Male,False,137,39
3648225,AM BULLDOG,SPOTTED,FASA,15108,Male,False,127,47
3648229,GER SHEPHERD,BROWN,TESSA,15234,Female,False,35,80
3648230,GOLDENDOODLE,CREAM,GERTIE,15108,Female,False,135,87
3648231,GOLDENDOODLE,GOLD,WALLACE,15108,Male,False,65,74
3648233,BOXER,BROWN,BRIX,15146,Male,False,143,69
